step,s_loss,c_loss
1,40668380000.0,0.0
2,40460420000.0,665.9427
3,39925592000.0,1468.7877
4,39087070000.0,2267.6064
5,37873970000.0,2996.8242
6,36246393000.0,3737.677
7,34218370000.0,4479.142
8,31849847000.0,5210.3633
9,29236510000.0,5929.8896
10,26515257000.0,6650.6226
11,23868695000.0,7382.2275
12,21532942000.0,8148.1343
13,19773841000.0,8949.937
14,18797259000.0,9790.656
15,18608620000.0,10679.528
16,18924870000.0,11609.552
17,19298703000.0,12569.802
18,19348834000.0,13567.713
19,18897502000.0,14593.459
20,17951775000.0,15618.143
21,16634548000.0,16634.766
22,15124412000.0,17658.357
23,13600441000.0,18689.914
24,12202462000.0,19742.355
25,11022973000.0,20801.816
26,10098532000.0,21859.236
27,9424114000.0,22881.533
28,8963252000.0,23836.06
29,8664253000.0,24724.23
30,8469531600.0,25523.656
31,8325341700.0,26229.08
32,8190386000.0,26816.45
33,8039301600.0,27279.945
34,7857303600.0,27620.365
35,7642212000.0,27840.309
36,7404639000.0,27939.605
37,7159317000.0,27942.81
38,6925573000.0,27861.812
39,6726063000.0,27719.447
40,6578375700.0,27544.812
41,6492084000.0,27353.875
42,6468633600.0,27149.932
43,6498855000.0,26949.963
44,6564913000.0,26766.79
45,6642603000.0,26606.816
46,6707490000.0,26474.828
47,6739255000.0,26378.389
48,6725185500.0,26308.879
49,6662536000.0,26273.102
50,6555973600.0,26272.027
51,6416688000.0,26302.963
52,6258342400.0,26358.234
53,6094195700.0,26439.373
54,5936644000.0,26547.69
55,5793600500.0,26673.092
56,5668894000.0,26809.031
57,5562701300.0,26956.58
58,5472470000.0,27108.227
59,5393927700.0,27259.127
60,5322039300.0,27409.535
61,5252808000.0,27544.094
62,5183419400.0,27659.303
63,5111835000.0,27746.102
64,5037498400.0,27807.646
65,4960642600.0,27844.371
66,4883884000.0,27860.877
67,4808897500.0,27859.23
68,4736933000.0,27842.96
69,4669773300.0,27813.328
70,4608186400.0,27776.824
71,4551626000.0,27729.484
72,4499055600.0,27672.398
73,4449430000.0,27612.309
74,4401637400.0,27549.463
75,4353553400.0,27490.574
76,4303286300.0,27432.123
77,4248800000.0,27375.316
78,4189452300.0,27324.418
79,4125467100.0,27278.924
80,4056647700.0,27240.57
81,3983876600.0,27215.926
82,3908492800.0,27200.668
83,3831807500.0,27190.617
84,3755257600.0,27186.754
85,3680178200.0,27192.062
86,3607589600.0,27209.58
87,3538347500.0,27237.836
88,3472617200.0,27276.559
89,3410464500.0,27322.371
90,3351807700.0,27375.523
91,3296299300.0,27435.867
92,3243520000.0,27501.666
93,3193151700.0,27569.916
94,3144935700.0,27638.418
95,3098397700.0,27704.19
96,3053749200.0,27769.846
97,3010525700.0,27834.621
98,2968386800.0,27896.602
99,2927426000.0,27956.035
100,2887644400.0,28012.234
101,2848978000.0,28063.537
102,2811646200.0,28109.557
103,2775555600.0,28157.496
104,2740765200.0,28200.613
105,2707234000.0,28240.215
106,2674819600.0,28280.191
107,2643389000.0,28314.922
108,2612543000.0,28346.16
109,2582335700.0,28377.094
110,2552467500.0,28406.193
111,2522484200.0,28435.51
112,2492143400.0,28464.945
113,2461230000.0,28493.742
114,2429658600.0,28519.102
115,2397725200.0,28544.547
116,2365328400.0,28565.328
117,2332608800.0,28586.723
118,2299681500.0,28609.68
119,2266741500.0,28637.182
120,2233844500.0,28664.111
121,2201355800.0,28691.242
122,2169328000.0,28719.996
123,2137825000.0,28749.84
124,2107002900.0,28779.875
125,2076968600.0,28807.785
126,2047745000.0,28836.77
127,2019508200.0,28867.057
128,1992250800.0,28900.48
129,1965827800.0,28936.197
130,1940334800.0,28974.64
131,1915462800.0,29012.54
132,1891189400.0,29048.918
133,1867542000.0,29084.637
134,1844454000.0,29116.701
135,1821940400.0,29146.576
136,1800062700.0,29177.012
137,1778911200.0,29208.125
138,1758316200.0,29237.062
139,1738342900.0,29262.129
140,1718946300.0,29285.3
141,1700182500.0,29305.7
142,1681961900.0,29322.836
143,1664288300.0,29334.828
144,1647054300.0,29344.621
145,1630286100.0,29353.824
146,1613733400.0,29363.236
147,1597236500.0,29372.488
148,1580786700.0,29380.906
149,1564396300.0,29390.61
150,1548136300.0,29400.297
151,1531909100.0,29408.785
152,1515625900.0,29416.545
153,1499293200.0,29423.844
154,1483003100.0,29431.89
155,1466814100.0,29440.133
156,1450739200.0,29451.389
157,1434805800.0,29466.629
158,1418989000.0,29482.543
159,1403332600.0,29500.541
160,1387942100.0,29520.855
161,1372839600.0,29541.457
162,1357962800.0,29563.926
163,1343288700.0,29586.223
164,1328804600.0,29608.277
165,1314479700.0,29629.77
166,1300355500.0,29649.602
167,1286322400.0,29669.684
168,1272412000.0,29694.336
169,1258699800.0,29719.746
170,1245172500.0,29745.79
171,1231851500.0,29771.23
172,1218763500.0,29795.186
173,1205913100.0,29815.996
174,1193412400.0,29835.365
175,1181238800.0,29856.268
176,1169354600.0,29876.46
177,1157693700.0,29896.066
178,1146172800.0,29915.662
179,1134902400.0,29937.994
180,1123889300.0,29960.605
181,1113119000.0,29981.738
182,1102538900.0,30002.312
183,1092187100.0,30022.346
184,1082052000.0,30040.844
185,1072106600.0,30058.84
186,1062296800.0,30076.297
187,1052560800.0,30092.086
188,1042912960.0,30105.846
189,1033340400.0,30121.234
190,1023849700.0,30137.098
191,1014407700.0,30150.156
192,1005024400.0,30162.55
193,995712060.0,30173.049
194,986448640.0,30181.73
195,977156000.0,30188.656
196,967871300.0,30195.09
197,958618240.0,30201.229
198,949444540.0,30207.32
199,940391700.0,30213.049
200,931491500.0,30218.646
201,922702500.0,30222.742
202,914019140.0,30225.09
203,905470850.0,30227.637
204,897095200.0,30232.7
205,888887360.0,30237.553
206,880841300.0,30241.48
207,872946200.0,30244.959
208,865206140.0,30249.234
209,857551800.0,30254.352
210,849983040.0,30261.324
211,842472770.0,30268.855
212,835051400.0,30277.059
213,827774600.0,30285.73
214,820679550.0,30295.793
215,813699200.0,30305.75
216,806841900.0,30315.764
217,800086200.0,30325.984
218,793384800.0,30335.607
219,786721500.0,30345.273
220,780103400.0,30355.912
221,773528600.0,30366.223
222,767029900.0,30375.85
223,760555800.0,30385.85
224,754107100.0,30396.11
225,747727700.0,30406.127
226,741431500.0,30414.281
227,735216300.0,30422.838
228,729080500.0,30431.947
229,723010400.0,30441.68
230,717045300.0,30451.51
231,711166700.0,30462.086
232,705364860.0,30472.934
233,699648600.0,30482.584
234,694014800.0,30492.074
235,688447360.0,30500.465
236,682915100.0,30507.408
237,677416800.0,30513.848
238,671949630.0,30519.773
239,666521700.0,30525.314
