step,s_loss,c_loss
1,5785448000.0,0.0
2,5690640000.0,638.7354
3,5511307300.0,1553.2949
4,5293122000.0,2592.0276
5,5049648600.0,3636.3245
6,4784146000.0,4712.0464
7,4499432400.0,5822.885
8,4200289800.0,6948.7627
9,3895498000.0,8073.348
10,3597593600.0,9182.256
11,3321153800.0,10262.186
12,3080556300.0,11317.545
13,2885243100.0,12329.385
14,2735851500.0,13280.555
15,2624200200.0,14170.27
16,2535658500.0,15000.844
17,2452170000.0,15771.155
18,2359606300.0,16459.615
19,2250887700.0,17067.03
20,2127588000.0,17600.752
21,1997598700.0,18060.854
22,1872368400.0,18453.006
23,1761643100.0,18805.07
24,1671428100.0,19125.477
25,1603493000.0,19443.773
26,1556238600.0,19772.47
27,1525937000.0,20101.652
28,1507338400.0,20412.066
29,1495843800.0,20687.416
30,1488096400.0,20925.26
31,1481872300.0,21096.754
32,1475991400.0,21203.627
33,1469499600.0,21266.95
34,1461990100.0,21290.201
35,1452852900.0,21282.703
36,1441539000.0,21255.889
37,1427208200.0,21212.688
38,1409192800.0,21155.363
39,1387292800.0,21095.346
40,1361629400.0,21038.79
41,1332565500.0,20989.766
42,1300437100.0,20954.75
43,1266234500.0,20933.9
44,1230656300.0,20921.035
45,1194418700.0,20914.76
46,1158334300.0,20911.297
47,1122718000.0,20917.459
48,1087992300.0,20923.41
49,1054664960.0,20933.133
50,1023037950.0,20959.691
51,993376300.0,20993.836
52,965566100.0,21043.465
53,939948800.0,21102.434
54,916411650.0,21164.863
55,894939140.0,21239.664
56,875218400.0,21325.703
57,857031900.0,21417.344
58,840271400.0,21512.229
59,824649700.0,21603.195
60,810034900.0,21691.35
61,796036000.0,21770.162
62,782489540.0,21839.02
63,769427200.0,21904.041
64,756814000.0,21964.947
65,744723840.0,22026.275
66,733158140.0,22081.586
67,722077760.0,22128.79
68,711456400.0,22170.863
69,701254660.0,22210.664
70,691438460.0,22246.637
71,681964800.0,22281.66
72,672808800.0,22320.564
73,663960800.0,22358.895
74,655325200.0,22395.848
75,646799900.0,22431.725
76,638461600.0,22469.459
77,630183040.0,22513.816
78,621974300.0,22558.727
79,613859140.0,22610.469
80,605860600.0,22672.137
81,597897000.0,22733.324
82,590113900.0,22788.38
83,582439550.0,22844.148
84,574765300.0,22898.352
85,567124100.0,22953.242
86,559491300.0,23005.271
87,551962300.0,23057.238
88,544580200.0,23108.46
89,537295600.0,23163.58
90,530094460.0,23220.35
91,522985150.0,23269.629
92,515955600.0,23319.895
93,509127300.0,23369.352
94,502360320.0,23409.953
95,495687070.0,23440.902
96,488978240.0,23462.58
97,482300130.0,23475.584
98,475637820.0,23486.598
99,469000930.0,23494.215
100,462522700.0,23497.414
101,456197820.0,23497.564
102,450032300.0,23495.371
103,444042720.0,23493.74
104,438231000.0,23489.732
105,432540480.0,23487.496
106,427010200.0,23483.354
107,421574800.0,23473.664
108,416279070.0,23463.2
109,411072130.0,23452.527
110,405911330.0,23440.219
111,400772930.0,23425.916
112,395692100.0,23410.602
113,390682800.0,23394.162
114,385695550.0,23380.205
115,380725100.0,23366.129
116,375774100.0,23352.496
117,370864830.0,23341.018
118,365998400.0,23329.934
119,361160770.0,23316.236
120,356410780.0,23303.992
121,351713900.0,23284.262
122,347085900.0,23257.027
123,342549220.0,23229.06
124,338111460.0,23203.898
125,333734900.0,23182.781
126,329429380.0,23162.664
127,325213000.0,23142.352
128,321061730.0,23123.285
129,316989060.0,23105.016
130,312965440.0,23087.84
131,308993300.0,23074.262
132,305065570.0,23065.014
133,301186780.0,23058.695
134,297416000.0,23055.688
135,293713820.0,23056.906
136,290100030.0,23062.129
137,286539360.0,23067.447
138,283034720.0,23076.574
139,279603650.0,23088.838
