step,s_loss,c_loss
1,10134481000.0,0.0
2,10028642000.0,653.47925
3,9778758000.0,1463.8109
4,9433800000.0,2376.8862
5,9008621000.0,3409.9734
6,8506819600.0,4568.701
7,7933750300.0,5774.532
8,7305688000.0,6964.012
9,6655167500.0,8115.8076
10,6032071700.0,9204.632
11,5495303700.0,10216.631
12,5096447500.0,11186.252
13,4849427000.0,12115.239
14,4715364400.0,13022.846
15,4623642600.0,13898.75
16,4512214500.0,14731.406
17,4351858700.0,15520.179
18,4140604700.0,16260.27
19,3894446000.0,16942.154
20,3635214800.0,17543.467
21,3378892500.0,18067.213
22,3141736400.0,18525.754
23,2932874000.0,18924.545
24,2757088800.0,19283.906
25,2612672300.0,19615.814
26,2496199200.0,19921.379
27,2402336300.0,20198.486
28,2326034200.0,20449.312
29,2262941200.0,20684.145
30,2209430300.0,20891.95
31,2163008000.0,21085.586
32,2122817000.0,21242.855
33,2087790300.0,21363.39
34,2057267800.0,21446.848
35,2031087600.0,21494.568
36,2008751400.0,21502.654
37,1989626200.0,21482.896
38,1972558700.0,21438.531
39,1955691500.0,21365.365
40,1937357300.0,21276.123
41,1916041500.0,21167.793
42,1891310600.0,21051.738
43,1862586600.0,20934.629
44,1830099500.0,20826.562
45,1794377700.0,20723.057
46,1756304600.0,20630.219
47,1716261600.0,20546.139
48,1674879700.0,20467.637
49,1632862300.0,20398.197
50,1590559500.0,20338.299
51,1548325100.0,20299.266
52,1506682900.0,20275.814
53,1465889200.0,20262.93
54,1426351900.0,20260.96
55,1388419800.0,20263.645
56,1352209700.0,20265.34
57,1317746200.0,20266.422
58,1285216500.0,20265.7
59,1254524900.0,20264.732
60,1225711500.0,20268.104
61,1198503700.0,20271.586
62,1172779300.0,20280.0
63,1148555300.0,20295.527
64,1125652500.0,20308.066
65,1103813600.0,20312.059
66,1083008400.0,20315.656
67,1063072500.0,20315.19
68,1043934340.0,20318.297
69,1025201600.0,20322.703
70,1006822660.0,20324.621
71,988726140.0,20323.113
72,970863400.0,20319.81
73,953195460.0,20313.264
74,935752060.0,20304.887
75,918610050.0,20300.484
76,901913400.0,20296.89
77,885584000.0,20300.96
78,869532350.0,20314.215
79,853819400.0,20334.22
80,838487940.0,20359.936
81,823579000.0,20389.883
82,809056640.0,20424.68
83,795001900.0,20465.91
84,781451400.0,20512.89
85,768317440.0,20559.863
86,755562300.0,20606.287
87,743190100.0,20651.969
88,731128200.0,20697.418
89,719335200.0,20739.354
90,707860000.0,20773.877
91,696725950.0,20804.412
92,685915800.0,20832.3
93,675572600.0,20858.201
94,665652740.0,20885.98
95,656150700.0,20917.1
96,646982460.0,20947.094
97,638045630.0,20976.354
98,629306700.0,21008.742
99,620709600.0,21045.307
100,612268700.0,21082.236
101,603923000.0,21120.055
102,595649900.0,21158.422
103,587402800.0,21196.703
104,579152100.0,21236.809
105,570905100.0,21274.223
106,562624450.0,21311.594
107,554364400.0,21349.59
108,546160800.0,21388.113
109,538002700.0,21429.348
110,530034850.0,21469.383
111,522192770.0,21515.361
112,514494750.0,21564.65
113,506969440.0,21620.352
114,499663170.0,21675.04
115,492522300.0,21728.379
116,485546620.0,21778.111
117,478818780.0,21827.562
118,472370370.0,21881.957
119,466120200.0,21936.0
120,459966430.0,21985.188
121,453874430.0,22032.176
122,447846270.0,22081.518
123,441913470.0,22130.203
124,436041440.0,22178.547
125,430264640.0,22228.62
126,424589470.0,22281.768
127,419003460.0,22332.613
128,413558500.0,22380.203
129,408239420.0,22426.52
130,403030140.0,22473.127
131,397882530.0,22516.658
132,392795460.0,22564.357
133,387792900.0,22610.95
134,382869500.0,22654.344
135,378024260.0,22694.16
136,373186200.0,22727.242
137,368332640.0,22757.941
138,363498880.0,22784.416
139,358692540.0,22808.107
140,353975520.0,22830.785
141,349341760.0,22851.59
142,344823000.0,22867.848
143,340413570.0,22884.727
144,336082460.0,22903.836
145,331828930.0,22922.586
146,327643260.0,22942.436
147,323500000.0,22964.062
148,319408320.0,22989.85
149,315356540.0,23014.254
150,311357220.0,23039.98
151,307396930.0,23066.184
152,303466340.0,23092.71
153,299562200.0,23122.953
154,295693630.0,23154.172
155,291880770.0,23188.223
156,288128960.0,23223.506
157,284438900.0,23257.611
158,280812580.0,23290.762
159,277224830.0,23324.086
160,273658000.0,23356.66
161,270148930.0,23388.86
162,266705660.0,23416.791
163,263326740.0,23442.857
164,260007900.0,23464.11
165,256766830.0,23482.21
166,253600860.0,23498.465
167,250504510.0,23512.393
168,247443710.0,23523.168
169,244428370.0,23532.254
170,241462910.0,23538.904
171,238565650.0,23544.324
172,235738930.0,23547.105
173,232954110.0,23546.414
174,230233340.0,23547.312
175,227568480.0,23549.72
176,224974370.0,23552.451
177,222431020.0,23557.168
178,219914610.0,23561.42
179,217411090.0,23566.805
180,214931550.0,23575.48
181,212461700.0,23587.268
182,210006140.0,23602.787
183,207568320.0,23620.93
184,205158080.0,23639.688
185,202787360.0,23658.88
186,200457470.0,23675.332
187,198163230.0,23691.742
188,195887550.0,23708.898
189,193638430.0,23725.816
190,191416940.0,23745.008
191,189232320.0,23764.848
192,187088930.0,23783.46
193,184980820.0,23799.996
194,182899550.0,23815.5
195,180864290.0,23830.23
196,178870620.0,23845.055
197,176909440.0,23860.838
198,174989280.0,23876.71
199,173088320.0,23891.127
200,171208800.0,23905.328
201,169344220.0,23916.762
202,167497250.0,23925.984
203,165671950.0,23935.305
204,163853660.0,23943.791
205,162061170.0,23950.14
206,160289660.0,23954.361
207,158540450.0,23957.346
208,156822050.0,23958.896
209,155124380.0,23960.88
210,153439340.0,23962.408
211,151769660.0,23964.717
212,150120510.0,23966.145
213,148492600.0,23966.992
214,146886750.0,23968.564
215,145294340.0,23970.07
216,143719470.0,23970.303
217,142169950.0,23970.676
218,140639090.0,23972.873
219,139136940.0,23975.074
220,137653090.0,23977.86
221,136185710.0,23981.824
222,134754200.0,23987.225
223,133337460.0,23993.977
224,131923140.0,24000.926
225,130521040.0,24007.328
226,129133280.0,24014.502
227,127762880.0,24023.045
228,126413250.0,24034.533
229,125077820.0,24046.113
230,123761160.0,24059.13
231,122466820.0,24071.895
232,121199740.0,24085.822
233,119954020.0,24099.094
234,118729130.0,24112.893
235,117520270.0,24127.309
236,116314450.0,24140.654
237,115116250.0,24153.104
238,113922430.0,24164.758
239,112743310.0,24176.268
240,111583140.0,24187.621
241,110445040.0,24198.717
242,109310290.0,24209.637
243,108176070.0,24219.898
244,107046650.0,24229.885
245,105930440.0,24240.037
246,104831544.0,24250.812
247,103752660.0,24262.81
248,102696470.0,24273.79
249,101662750.0,24285.074
250,100651730.0,24295.557
251,99655330.0,24304.562
252,98670690.0,24313.117
253,97699140.0,24320.617
254,96743440.0,24326.717
255,95799460.0,24332.67
256,94867740.0,24337.736
257,93946260.0,24343.258
258,93039450.0,24348.922
259,92144240.0,24353.72
260,91256264.0,24356.865
261,90376430.0,24360.611
262,89505670.0,24363.7
263,88644460.0,24367.766
264,87794030.0,24371.234
265,86954110.0,24374.732
266,86121870.0,24379.715
267,85296140.0,24385.168
268,84478056.0,24390.76
269,83666580.0,24396.66
270,82864270.0,24402.455
271,82071850.0,24406.865
272,81287540.0,24410.36
273,80512110.0,24412.924
274,79746980.0,24415.012
275,78991150.0,24416.898
276,78242710.0,24417.902
277,77502380.0,24418.574
278,76771330.0,24418.404
279,76050060.0,24418.395
280,75339100.0,24418.408
281,74635224.0,24418.326
282,73938410.0,24417.91
283,73250700.0,24416.762
284,72570300.0,24415.666
285,71899400.0,24415.785
286,71238430.0,24416.688
287,70581620.0,24418.355
288,69929060.0,24420.588
289,69281200.0,24422.318
290,68640420.0,24423.371
291,68004370.0,24424.877
292,67378370.0,24426.227
293,66759844.0,24427.74
294,66147496.0,24428.79
295,65541210.0,24429.309
296,64943190.0,24428.484
297,64356190.0,24428.008
298,63778020.0,24427.41
299,63210772.0,24425.9
300,62649960.0,24423.32
301,62098170.0,24421.516
302,61553810.0,24419.24
303,61012984.0,24417.07
304,60476904.0,24414.57
305,59945740.0,24411.979
306,59421108.0,24410.348
307,58902210.0,24408.803
308,58390280.0,24407.346
309,57884692.0,24405.996
310,57387384.0,24404.602
311,56896320.0,24404.129
312,56410310.0,24403.49
313,55927064.0,24402.523
314,55447730.0,24401.414
315,54972870.0,24399.809
316,54503576.0,24397.936
317,54039932.0,24395.232
318,53582310.0,24393.188
319,53128184.0,24391.21
320,52677956.0,24389.623
321,52230640.0,24389.205
322,51786290.0,24388.967
323,51346256.0,24389.16
324,50910964.0,24388.95
325,50480776.0,24388.848
326,50055050.0,24389.455
327,49636412.0,24390.568
328,49222550.0,24391.908
329,48813004.0,24393.0
330,48408384.0,24394.148
331,48006216.0,24394.783
332,47606930.0,24396.176
333,47211024.0,24397.365
334,46817704.0,24397.912
335,46428484.0,24398.32
336,46041990.0,24398.98
337,45658930.0,24399.84
338,45279220.0,24401.32
339,44902450.0,24402.865
340,44529470.0,24404.43
341,44160212.0,24405.502
342,43794180.0,24406.062
343,43433036.0,24406.3
344,43075776.0,24405.34
345,42723760.0,24403.508
346,42375630.0,24400.912
347,42031050.0,24397.41
348,41690996.0,24392.832
349,41355010.0,24387.844
350,41022676.0,24381.86
351,40694330.0,24375.078
352,40368764.0,24368.06
353,40046900.0,24360.8
354,39729400.0,24353.79
355,39415664.0,24347.027
356,39104656.0,24339.232
357,38796200.0,24331.303
358,38489480.0,24323.207
359,38186190.0,24315.375
360,37886284.0,24307.02
361,37589424.0,24298.01
362,37295230.0,24288.828
363,37003344.0,24279.102
364,36715172.0,24269.012
365,36429344.0,24258.66
366,36145244.0,24248.344
367,35863716.0,24238.057
368,35585264.0,24228.328
369,35308870.0,24218.719
370,35034270.0,24209.207
371,34762350.0,24200.436
372,34493584.0,24191.889
373,34227384.0,24183.363
374,33962950.0,24174.45
375,33700760.0,24165.92
376,33441592.0,24157.36
377,33185528.0,24149.064
378,32931702.0,24141.166
379,32680640.0,24133.682
380,32432702.0,24126.629
381,32187160.0,24119.926
382,31943438.0,24113.232
383,31701880.0,24106.553
384,31462662.0,24100.27
385,31225550.0,24094.162
386,30990760.0,24088.066
387,30758160.0,24082.277
388,30527684.0,24076.992
389,30299154.0,24071.393
390,30072788.0,24065.656
391,29849004.0,24060.36
392,29627932.0,24055.322
393,29408996.0,24050.39
394,29191596.0,24044.924
395,28975652.0,24038.834
396,28761598.0,24032.496
397,28549068.0,24026.43
398,28338348.0,24020.977
399,28129162.0,24015.39
400,27922016.0,24010.29
401,27716708.0,24005.562
402,27513574.0,24000.666
403,27312818.0,23996.0
404,27114164.0,23991.543
405,26917380.0,23987.332
406,26721914.0,23983.197
407,26528146.0,23979.025
408,26336396.0,23974.98
409,26146472.0,23971.176
410,25958336.0,23967.775
411,25772388.0,23964.488
412,25588806.0,23961.26
413,25407964.0,23957.656
414,25229588.0,23953.867
415,25053810.0,23950.074
416,24880184.0,23946.426
417,24708618.0,23943.035
418,24538352.0,23939.6
419,24369594.0,23936.434
420,24202218.0,23933.58
421,24036436.0,23930.723
422,23871778.0,23927.96
423,23708780.0,23925.316
424,23547296.0,23922.932
425,23386648.0,23920.516
426,23226560.0,23917.85
427,23067736.0,23914.762
428,22910210.0,23911.42
429,22754180.0,23907.805
430,22599230.0,23904.188
431,22445328.0,23900.361
432,22293228.0,23896.088
433,22142892.0,23891.516
434,21994488.0,23886.701
435,21848226.0,23881.426
436,21703812.0,23875.957
437,21560934.0,23870.56
438,21419620.0,23864.984
439,21280160.0,23859.26
440,21142412.0,23853.275
441,21006068.0,23847.176
442,20870918.0,23840.957
443,20737240.0,23834.729
444,20604566.0,23828.412
445,20472676.0,23821.963
446,20341554.0,23815.723
447,20211630.0,23809.672
448,20082828.0,23803.828
449,19955272.0,23798.047
450,19828520.0,23792.129
451,19702582.0,23786.152
452,19577304.0,23780.104
453,19452830.0,23774.062
454,19329190.0,23768.043
455,19206274.0,23761.816
456,19084240.0,23755.404
457,18963036.0,23748.863
458,18842760.0,23742.227
459,18723632.0,23735.578
460,18605776.0,23729.047
461,18489114.0,23722.445
462,18373646.0,23715.727
463,18259068.0,23708.754
464,18145570.0,23701.71
465,18033222.0,23694.723
466,17922112.0,23687.668
467,17812112.0,23680.715
468,17702996.0,23673.902
469,17594920.0,23667.145
470,17487896.0,23660.227
471,17381976.0,23653.367
472,17277048.0,23646.488
473,17173186.0,23639.81
474,17070104.0,23633.379
475,16967888.0,23626.83
476,16866300.0,23620.102
477,16765468.0,23613.342
478,16665386.0,23606.848
479,16565948.0,23600.375
480,16467209.0,23593.68
481,16369190.0,23586.73
482,16271894.0,23579.793
483,16175204.0,23572.664
484,16079370.0,23565.402
485,15984700.0,23557.994
486,15890928.0,23550.447
487,15797878.0,23542.832
488,15705779.0,23535.117
489,15614614.0,23527.271
490,15524627.0,23519.516
491,15435658.0,23511.535
492,15347512.0,23503.27
493,15260118.0,23494.762
494,15173538.0,23486.049
495,15087795.0,23477.477
496,15002854.0,23468.832
497,14918521.0,23460.162
498,14834756.0,23451.594
499,14751628.0,23443.152
500,14669072.0,23434.766
501,14586986.0,23426.188
502,14505423.0,23417.42
503,14424600.0,23408.506
504,14344506.0,23399.414
505,14265175.0,23390.219
506,14186666.0,23380.736
507,14108804.0,23370.98
508,14031521.0,23361.18
509,13954890.0,23351.215
510,13879054.0,23341.39
511,13803986.0,23331.643
512,13729506.0,23321.883
513,13655530.0,23312.117
514,13581971.0,23302.527
515,13509000.0,23293.04
516,13436563.0,23283.59
517,13364722.0,23274.186
518,13293382.0,23264.828
519,13222479.0,23255.39
520,13152122.0,23245.695
521,13082368.0,23236.037
522,13013026.0,23226.416
523,12944196.0,23216.79
524,12875914.0,23207.135
525,12808226.0,23197.416
526,12741058.0,23187.812
527,12674337.0,23178.332
528,12608242.0,23168.932
529,12542788.0,23159.559
530,12477912.0,23150.127
531,12413677.0,23140.63
532,12349905.0,23131.023
533,12286639.0,23121.434
534,12224012.0,23111.973
535,12161968.0,23102.484
536,12100501.0,23092.945
537,12039560.0,23083.139
538,11979109.0,23073.39
539,11919172.0,23063.773
540,11859772.0,23054.16
541,11800890.0,23044.492
542,11742544.0,23034.742
543,11684718.0,23025.0
544,11627366.0,23015.14
545,11570526.0,23005.33
546,11514338.0,22995.555
547,11458578.0,22985.734
548,11403091.0,22975.828
549,11347961.0,22965.93
550,11293326.0,22956.078
551,11239193.0,22946.094
552,11185538.0,22936.066
553,11132294.0,22926.107
554,11079446.0,22916.25
555,11027101.0,22906.635
556,10975297.0,22897.193
557,10923992.0,22887.885
558,10873126.0,22878.719
559,10822673.0,22869.59
560,10772562.0,22860.56
561,10722754.0,22851.664
562,10673334.0,22842.98
563,10624262.0,22834.453
564,10575529.0,22825.941
565,10527188.0,22817.531
566,10479160.0,22809.191
567,10431424.0,22800.754
568,10383952.0,22792.254
569,10336833.0,22783.838
570,10290179.0,22775.492
571,10243930.0,22767.29
572,10197995.0,22759.223
573,10152415.0,22751.305
574,10107164.0,22743.527
575,10062210.0,22735.713
576,10017562.0,22727.826
577,9973251.0,22719.969
578,9929298.0,22712.191
579,9885598.0,22704.516
580,9842166.0,22696.938
581,9798982.0,22689.355
582,9756070.0,22681.816
583,9713433.0,22674.426
584,9671058.0,22667.14
585,9628952.0,22659.879
586,9587051.0,22652.635
587,9545402.0,22645.367
588,9503968.0,22638.156
589,9462824.0,22630.924
590,9422076.0,22623.74
591,9381599.0,22616.62
592,9341372.0,22609.555
593,9301463.0,22602.516
594,9261842.0,22595.543
595,9222488.0,22588.578
596,9183445.0,22581.656
597,9144672.0,22574.762
598,9106224.0,22567.875
599,9068083.0,22560.924
600,9030226.0,22553.984
601,8992620.0,22547.043
602,8955317.0,22540.188
603,8918293.0,22533.309
604,8881534.0,22526.434
605,8844976.0,22519.738
606,8808642.0,22513.191
607,8772570.0,22506.752
608,8736756.0,22500.432
609,8701187.0,22494.148
610,8665837.0,22487.922
611,8630706.0,22481.768
612,8595790.0,22475.719
613,8561054.0,22469.75
614,8526527.0,22463.87
615,8492168.0,22458.078
616,8457969.0,22452.377
617,8424002.0,22446.693
618,8390298.0,22441.053
619,8356863.0,22435.383
620,8323704.0,22429.652
621,8290771.0,22423.928
622,8258079.0,22418.129
623,8225653.0,22412.25
624,8193528.5,22406.34
625,8161658.5,22400.45
626,8130068.5,22394.562
627,8098732.0,22388.625
628,8067651.0,22382.703
629,8036738.0,22376.75
630,8006011.5,22370.645
631,7975485.0,22364.549
632,7945171.0,22358.342
633,7915064.0,22352.111
634,7885170.5,22345.889
635,7855482.5,22339.602
636,7825947.0,22333.238
637,7796572.5,22326.85
638,7767353.0,22320.41
639,7738296.0,22313.965
640,7709420.5,22307.54
641,7680741.0,22301.072
642,7652261.5,22294.635
643,7624009.0,22288.236
644,7595946.0,22281.863
645,7568047.0,22275.52
646,7540349.0,22269.105
647,7512816.0,22262.627
648,7485445.0,22256.086
649,7458258.0,22249.568
650,7431260.0,22243.023
651,7404427.0,22236.451
652,7377763.5,22229.871
653,7351304.5,22223.281
654,7325037.0,22216.621
