step,s_loss,c_loss
241,101152760.0,33767.168
242,100192880.0,33775.97
243,99244820.0,33786.312
244,98305336.0,33799.96
245,97376424.0,33815.074
246,96453920.0,33832.43
247,95535850.0,33849.062
248,94630980.0,33863.312
249,93736540.0,33877.53
250,92853400.0,33890.72
251,91985960.0,33902.39
252,91126310.0,33912.414
253,90275220.0,33923.68
254,89434980.0,33934.82
255,88604390.0,33944.99
256,87780056.0,33953.805
257,86962860.0,33961.43
258,86155660.0,33968.074
259,85353280.0,33973.453
260,84557410.0,33977.234
261,83772180.0,33980.29
262,83000580.0,33982.62
263,82238584.0,33983.816
264,81485050.0,33984.582
265,80740990.0,33984.996
266,80007690.0,33985.156
267,79283540.0,33983.844
268,78565384.0,33983.36
269,77854560.0,33982.93
270,77153790.0,33983.24
271,76460710.0,33983.875
272,75771840.0,33983.35
273,75088830.0,33983.566
274,74410740.0,33983.14
275,73738100.0,33982.85
276,73072020.0,33983.14
277,72411976.0,33983.555
278,71761550.0,33984.99
279,71121230.0,33987.6
280,70491360.0,33990.758
281,69868760.0,33993.062
282,69253390.0,33994.977
283,68643420.0,33996.875
284,68041250.0,33999.375
285,67447810.0,34002.12
286,66859664.0,34002.36
287,66277136.0,33999.523
288,65699610.0,33995.11
289,65125296.0,33990.32
290,64557964.0,33985.168
291,63996000.0,33979.86
292,63440440.0,33975.254
293,62890776.0,33973.367
294,62346740.0,33973.234
295,61809370.0,33974.406
296,61276036.0,33977.594
297,60748290.0,33981.25
298,60227024.0,33985.508
299,59713530.0,33989.824
300,59207388.0,33993.504
301,58707536.0,33995.73
302,58214536.0,33997.66
303,57729704.0,33998.82
304,57251416.0,33998.65
305,56779260.0,33997.797
306,56311384.0,33995.805
307,55849104.0,33992.793
308,55392776.0,33990.86
309,54940230.0,33988.492
310,54489852.0,33985.06
311,54042644.0,33980.93
312,53599820.0,33976.297
313,53160704.0,33972.348
314,52724550.0,33969.438
315,52292824.0,33965.45
316,51865760.0,33962.266
317,51443140.0,33959.086
318,51022216.0,33956.25
319,50604920.0,33953.33
320,50190236.0,33950.516
321,49780530.0,33948.23
322,49376890.0,33946.082
323,48978936.0,33944.004
324,48585616.0,33941.36
325,48196680.0,33938.688
326,47812344.0,33935.312
327,47434076.0,33933.86
328,47060710.0,33933.547
329,46693410.0,33934.055
330,46329670.0,33936.055
331,45970772.0,33939.04
332,45614050.0,33943.58
333,45260864.0,33949.113
334,44911310.0,33955.28
335,44565104.0,33961.61
336,44222776.0,33967.844
337,43883904.0,33973.617
338,43549404.0,33980.914
339,43217428.0,33989.086
340,42887860.0,33998.72
341,42561964.0,34008.195
342,42238884.0,34017.66
343,41918350.0,34028.008
344,41601480.0,34038.43
345,41286588.0,34048.562
346,40974850.0,34058.902
347,40666076.0,34069.12
348,40360536.0,34079.29
349,40057950.0,34088.656
350,39759290.0,34097.637
351,39464028.0,34106.934
352,39171732.0,34116.383
353,38881130.0,34125.04
354,38593224.0,34133.344
355,38307876.0,34139.836
356,38025636.0,34144.996
357,37746452.0,34149.46
358,37469652.0,34152.57
359,37196704.0,34154.137
360,36927384.0,34154.3
361,36661336.0,34152.42
362,36397332.0,34149.625
363,36136076.0,34145.543
364,35877590.0,34140.8
365,35621490.0,34134.918
366,35367344.0,34127.758
367,35115290.0,34120.664
368,34864604.0,34114.434
369,34614760.0,34108.91
370,34365880.0,34104.0
371,34117796.0,34099.566
372,33872204.0,34096.58
373,33629864.0,34094.047
374,33389972.0,34092.562
375,33153052.0,34092.56
376,32919182.0,34093.117
377,32688410.0,34093.812
378,32460202.0,34093.965
379,32234248.0,34094.61
380,32010944.0,34094.387
381,31790458.0,34093.844
382,31572364.0,34092.625
383,31356624.0,34090.625
384,31143228.0,34087.676
385,30932356.0,34083.613
386,30723344.0,34079.598
387,30515144.0,34074.527
388,30307772.0,34068.055
389,30101686.0,34062.223
390,29896648.0,34056.598
391,29693208.0,34051.703
392,29491980.0,34046.875
393,29293160.0,34042.574
394,29095892.0,34038.023
395,28900714.0,34033.438
396,28707996.0,34028.266
397,28517572.0,34022.17
398,28329744.0,34016.004
399,28144662.0,34009.562
400,27962124.0,34003.27
401,27781778.0,33996.742
402,27603172.0,33990.496
403,27426444.0,33984.566
404,27250910.0,33978.5
405,27076890.0,33972.336
406,26904264.0,33966.156
407,26732432.0,33959.562
408,26561880.0,33952.906
409,26392748.0,33945.984
410,26225400.0,33938.707
411,26059262.0,33931.207
412,25894568.0,33923.062
413,25731890.0,33914.96
414,25570804.0,33907.152
415,25411486.0,33898.438
416,25253924.0,33889.07
417,25097838.0,33879.523
418,24943518.0,33870.47
419,24790764.0,33861.42
420,24639844.0,33852.473
421,24490798.0,33843.895
422,24343092.0,33836.14
423,24196572.0,33828.9
424,24050708.0,33821.66
425,23906088.0,33814.67
426,23762560.0,33807.242
427,23620134.0,33799.98
428,23478928.0,33792.19
429,23339256.0,33784.082
430,23201088.0,33775.65
431,23063934.0,33766.742
432,22928278.0,33757.03
433,22794090.0,33747.18
434,22661208.0,33737.133
435,22529846.0,33726.688
436,22400224.0,33715.29
437,22272340.0,33702.965
438,22145946.0,33689.87
439,22020710.0,33677.22
440,21896532.0,33665.117
441,21773048.0,33653.01
442,21649996.0,33641.496
443,21527700.0,33630.363
444,21406628.0,33619.375
