epoch,time
1,6.5302
2,12.9587
3,19.4675
4,25.8653
5,32.4413
6,38.8373
7,45.3752
8,51.7887
9,58.4286
10,64.8138
11,71.3347
12,77.7265
13,84.2388
14,90.6458
15,97.1824
16,103.5929
17,110.0743
18,116.4492
19,123.0941
20,129.5076
21,136.0534
22,142.4715
23,149.1034
24,155.5167
25,162.0924
26,168.5475
27,175.0247
28,181.4216
29,187.8739
30,194.2628
31,200.6777
32,207.0966
33,213.5368
34,219.9837
35,226.399
36,232.8604
37,239.2252
38,245.6974
39,252.0672
40,258.6062
41,264.9736
42,271.5336
43,277.9104
44,284.4437
45,290.8406
46,297.3828
47,303.7801
48,310.3386
49,316.7289
50,323.284
51,329.6536
52,336.1844
53,342.5556
54,349.1021
55,355.4674
56,362.0118
57,368.3739
58,374.9117
59,381.3062
60,387.8442
61,394.2537
62,400.7578
63,407.1474
64,413.6191
65,420.0486
66,426.5455
67,432.9765
68,439.4641
69,445.9316
70,452.3487
71,458.8347
72,465.2118
73,471.7105
74,478.0606
75,484.585
76,490.9404
77,497.449
78,503.7907
79,510.2988
80,516.6428
81,523.164
82,529.5261
83,536.0569
84,542.4113
85,548.9428
86,555.2984
87,561.8059
88,568.1521
89,574.6321
90,580.9806
91,587.4616
92,593.7889
93,600.2758
94,606.8524
95,613.8491
96,620.2777
97,626.7959
98,633.1993
99,639.6569
100,646.0378
