epoch,time
1,6.7178
2,14.9943
3,21.502
4,27.8817
5,34.4339
6,40.823
7,47.3603
8,53.7342
9,60.2183
10,66.5672
11,73.0328
12,79.3253
13,85.7942
14,92.0948
15,98.5382
16,104.8572
17,111.3303
18,117.6649
19,124.1354
20,130.4628
21,136.9444
22,143.2841
23,149.7724
24,156.0947
25,162.5359
26,168.8862
27,175.3207
28,182.1305
29,188.5055
30,194.8993
31,201.2633
32,207.694
33,214.0277
34,220.4839
35,226.7894
36,233.2691
37,239.5844
38,246.0666
39,252.3808
40,258.8297
41,265.1645
42,271.5913
43,277.9057
44,284.3579
45,290.6806
46,297.166
47,303.4787
48,309.9648
49,316.2847
50,322.7289
51,329.05
52,335.5649
53,341.897
54,348.3817
55,354.737
56,361.2564
57,367.6117
58,374.1212
59,380.4712
60,387.0019
61,393.3663
62,399.9071
63,406.2625
64,412.7801
65,419.1582
66,425.6517
67,431.9926
68,438.4435
69,444.8405
70,451.3038
71,457.6951
72,464.1299
73,470.529
74,476.9718
75,483.3758
76,489.7728
77,496.1815
78,502.5906
79,509.0409
80,515.4269
81,521.8936
82,528.2519
83,534.7273
84,541.0569
85,547.5486
86,553.8596
87,560.3105
88,566.6415
89,573.1194
90,579.4505
91,585.9241
92,592.2096
93,598.6499
94,604.9671
95,611.4214
96,617.7321
97,624.2054
98,630.5122
99,637.0062
100,643.3208
